	batch order	entry name	function	keywords	ec number	similar hits (close to same %id of highest from either e. coli or phage)	my comments	internal name	internal group	ami rank	fol rank	mac rank	tet rank	oth rank	Unnamed: 23	total	count uncharacterized	count comments	count no results	count not confident	>= 95%	>= 90%	>= 75%	>= 50%	Unnamed: 0	rank	group_name	Gene	Non-unique Gene name	Annotation	entry	protein names	protein families	gene names	organism	length (aa)	identity (%)	score	evalue	No. isolates	No. sequences	Avg sequences per isolate	Min group size nuc	Max group size nuc	Avg group size nuc
2925																									4141	36	ytfB	nadB_1		hypothetical protein										327	327	1	584	2147	2046
2926																									3350	36	ytfB	ytfE		protein involved in repair of stress-damaged iron-sulfur clusters										542	542	1	281	662	661
2927																									3692	36	ytfB	yjfZ		putative protein										448	448	1	371	794	717
2928																									3691	36	ytfB	yibD		putative glycosyl transferase										448	448	1	371	1034	1028
2929																									3403	36	ytfB	ytfQ		galactofuranose / galactopyranose ABC transporter - periplasmic binding protein										524	524	1	143	956	952
2930																									3411	36	ytfB	ytfR		galactofuranose / galactopyranose ABC transporter - putative ATP binding subunit										522	522	1	590	1562	1498
2931																									3412	36	ytfB	tamB		translocation and assembly module - TamB subunit										522	522	1	1331	3875	3771
2932																									4544	36	ytfB	group_3432		hypothetical protein										255	255	1	287	614	497
2933																									5978	36	ytfB	group_12682	ydiF_2	fused predicted acetyl-CoA:acetoacetyl-CoA transferase: alpha subunit/beta subunit										133	133	1	437	1547	1465
2934																									3415	36	ytfB	chpS		ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system										522	522	1	251	251	251
2935																									3416	36	ytfB	chpB		ChpB toxin of the ChpB-ChpS toxin-antitoxin system										522	522	1	131	314	313
2936																									4304	36	ytfB	group_24862	ytfQ	galactofuranose / galactopyranose ABC transporter - periplasmic binding protein										295	295	1	791	965	953
2937																									5049	36	ytfB	yiaN_2		2,3-diketo-L-gulonate:Na  symporter - membrane subunit										190	190	1	407	1310	1241
2938																									2369	36	ytfB	ytfB		putative cell envelope opacity-associated protein										760	760	1	464	638	636
2939																									3654	36	ytfB	ytfA		putative transcriptional regulator										459	459	1	242	707	573
2940																									4688	36	ytfB	yibD_1		putative glycosyl transferase										236	236	1	473	983	979
2941																									3484	36	ytfB	yjfF		galactofuranose / galactospyranose ABC transporter - putative membrane subunit										504	504	1	461	1004	993
2942																									4676	36	ytfB	group_11546	waaJ_2	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase										237	237	1	350	995	962
2943																									3632	36	ytfB	waaC		ADP-heptose:LPS heptosyltransferase I										465	465	1	620	992	978
2944																									4317	36	ytfB	group_10637	ytfR	galactofuranose / galactopyranose ABC transporter - putative ATP binding subunit										292	292	1	212	1553	1422
2945																									4036	36	ytfB	group_11894	waaC	ADP-heptose:LPS heptosyltransferase I										352	352	1	212	989	965
2946																									4338	36	ytfB	group_13996	tamB	translocation and assembly module - TamB subunit										288	288	1	1019	3779	3745
2947																									4681	36	ytfB	group_24168	waaY	lipopolysaccharide core heptose (II) kinase										237	237	1	614	692	691
2948																									4679	36	ytfB	rfaL		O-antigen ligase										237	237	1	962	1256	1247
2949																									4024	36	ytfB	yibD_2		putative glycosyl transferase										356	356	1	371	1034	1021
2950																									4982	36	ytfB	ydcM_2		putative transposase										197	197	1	218	1148	1100
2951																									3897	36	ytfB	kduD_2		2-deoxy-D-gluconate 3-dehydrogenase										391	391	1	251	791	784
2952																									5009	36	ytfB	siaQ		Sialic acid TRAP transporter small permease protein SiaQ										194	194	1	248	500	474
2953																									4984	36	ytfB	yiaO_2		2,3-diketo-L-gulonate:Na  symporter - periplasmic binding protein										197	197	1	620	971	962
2954																									3880	36	ytfB	iolI		D-tagatose 3-epimerase										396	396	1	503	848	839
2955																									4798	36	ytfB	group_12060	waaI	UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase										221	221	1	401	1037	1013
2956																									4217	36	ytfB	waaJ_2		UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase										310	310	1	911	1028	1026
2957																									4816	36	ytfB	group_20465	waaG	lipopolysaccharide glucosyltransferase I										219	219	1	1124	1124	1124
2958																									4800	36	ytfB	group_16941	waaP	lipopolysaccharide core heptose (I) kinase										221	221	1	377	797	791
2959																									4159	36	ytfB	paaF_2		putative 2,3-dehydroadipyl-CoA hydratase										322	322	1	164	776	770
2960																									4423	36	ytfB	group_28660	ytfE	protein involved in repair of stress-damaged iron-sulfur clusters										271	271	1	422	662	660
2961																									4192	36	ytfB	group_16712	yjfF	galactofuranose / galactospyranose ABC transporter - putative membrane subunit										315	315	1	269	1328	991
2962																									7734	36	ytfB	nadB_2		hypothetical protein										83	83	1	323	2090	1885
5280																									5423	63	ymgE	group_9878	yeeW_2	CP4-44 prophage; predicted protein										164	164	1	164	266	194
5281																									7445	63	ymgE	group_2017		hypothetical protein										89	114	1.29	203	269	265
5282																									7266	63	ymgE	group_42629		hypothetical protein										93	93	1	533	536	533
5283																									7646	63	ymgE	insF-1_4		hypothetical protein										85	99	1.17	143	1214	554
5284																									7645	63	ymgE	group_39659		hypothetical protein										85	85	1	206	206	206
5285																									5886	63	ymgE	yccE_1		putative protein										138	138	1	248	1259	494
5286																									6796	63	ymgE	group_19377		hypothetical protein										103	103	1	260	260	260
5287																									2323	63	ymgE	kefG		protein required for KefB activity										767	767	1	230	554	549
5288																									2427	63	ymgE	group_18686		hypothetical protein										752	752	1	245	965	905
5289																									6811	63	ymgE	group_26646		hypothetical protein										103	103	1	197	281	280
5290																									6810	63	ymgE	group_26644		hypothetical protein										103	103	1	233	233	233
5291																									5699	63	ymgE	group_19488		hypothetical protein										148	148	1	260	281	279
5292																									7081	63	ymgE	group_15488	ydcD	hypothetical protein										96	96	1	167	482	355
5293																									7459	63	ymgE	group_38720		hypothetical protein										89	95	1.07	320	320	320
5294																									2614	63	ymgE	dacD		DD-carboxypeptidase, penicillin-binding protein 6b										716	716	1	464	1277	1159
5295																									6798	63	ymgE	group_19392		hypothetical protein										103	103	1	734	1400	1390
5296																									6604	63	ymgE	yfdS_1		CPS-53 (KpLE1) prophage; predicted protein										109	109	1	143	362	359
5297																									6965	63	ymgE	group_10997		hypothetical protein										99	99	1	272	272	272
5298																									5054	63	ymgE	intD_2		DLP12 prophage; predicted integrase										190	190	1	479	1163	1098
5299																									6041	63	ymgE	group_1167		hypothetical protein										130	185	1.43	230	3242	2916
5300																									2268	63	ymgE	ymgE		putative inner membrane protein										775	775	1	245	338	254
5301																									6492	63	ymgE	group_7514		hypothetical protein										113	113	1	281	3524	2850
5302																									4907	63	ymgE	yibV		hypothetical protein										206	206	1	239	521	337
5303																									5502	63	ymgE	group_266	yfjX_1	CP4-57 prophage; predicted antirestriction protein										159	159	1	473	485	479
5304																									7737	63	ymgE	group_9065	yfdM	CPS-53 (KpLE1) prophage; predicted methyltransferase										83	83	1	371	653	649
5305																									2707	63	ymgE	yeeY		putative DNA-binding transcriptional regulator										695	695	1	338	950	943
5306																									6928	63	ymgE	group_7625		hypothetical protein										101	101	1	233	467	429
5307																									7732	63	ymgE	group_6935		hypothetical protein										83	83	1	281	1409	1271
5308																									5489	63	ymgE	group_12461		hypothetical protein										159	159	1	680	1415	1314
5309																									7340	63	ymgE	group_2141		hypothetical protein										91	91	1	299	3794	2261
5310																									7725	63	ymgE	group_39657		hypothetical protein										83	83	1	212	212	212
5311																									7145	63	ymgE	dinI_5		DNA damage-inducible protein I										95	95	1	248	248	248
5312																									6943	63	ymgE	nohB_3		DLP12 prophage; DNA packaging protein										100	100	1	512	542	541
5313																									6857	63	ymgE	group_29317		hypothetical protein										102	102	1	299	299	299
5314																									7209	63	ymgE	group_7791		hypothetical protein										94	96	1.03	104	722	672
5315																									6529	63	ymgE	group_13838	yeeY	putative DNA-binding transcriptional regulator										111	111	1	287	950	928
5316																									5468	63	ymgE	group_17809	qor	quinone oxidoreductase										161	161	1	377	983	972
5317																									7692	63	ymgE	group_11772		hypothetical protein										83	83	1	395	584	581
5318																									5982	63	ymgE	lomR_6		Rac prophage; predicted protein, C-ter fragment										133	220	1.66	296	602	592
5319																									7684	63	ymgE	group_6832		hypothetical protein										84	84	1	323	3281	2657
5320																									2467	63	ymgE	group_9856		hypothetical protein										746	746	1	209	1349	1337
5321																									7396	63	ymgE	group_1974		hypothetical protein										90	98	1.09	257	698	633
